__run_id,__done,run_number,llm,problem_difficulty,problem,prompt_i,power_consumption,cpu_usage
run_1052,,r2,Claude,hard,H-MN,2,,
run_291,,r0,GPT-4o,hard,H-SF,0,,
run_2,,r2,GPT-4o,easy,E-PN,2,,
run_458,,r2,GeminiUltra,easy,E-UE,2,,
run_115,,r1,GPT-4o,easy,E-UE,1,,
run_91,,r1,GPT-4o,easy,E-UE,1,,
run_5,,r2,GPT-4o,easy,E-PN,2,,
run_103,,r1,GPT-4o,easy,E-UE,1,,
run_590,,r2,GeminiUltra,medium,M-GS,2,,
run_557,,r2,GeminiUltra,medium,M-GS,2,,
run_457,,r1,GeminiUltra,easy,E-UE,1,,
run_382,,r1,GeminiUltra,easy,E-PN,1,,
run_232,,r1,GPT-4o,medium,M-GS,1,,
run_94,,r1,GPT-4o,easy,E-UE,1,,
run_1014,,r0,Claude,hard,H-SF,0,,
run_849,,r0,Claude,medium,M-CS,0,,
run_347,,r2,GPT-4o,hard,H-MN,2,,
run_173,,r2,GPT-4o,medium,M-CS,2,,
run_934,,r1,Claude,medium,M-GS,1,,
run_611,,r2,GeminiUltra,hard,H-SF,2,,
run_1006,,r1,Claude,hard,H-SF,1,,
run_830,,r2,Claude,easy,E-UE,2,,
run_230,,r2,GPT-4o,medium,M-GS,2,,
run_397,,r1,GeminiUltra,easy,E-PN,1,,
run_192,,r0,GPT-4o,medium,M-GS,0,,
run_148,,r1,GPT-4o,medium,M-CS,1,,
run_489,,r0,GeminiUltra,medium,M-CS,0,,
run_402,,r0,GeminiUltra,easy,E-PN,0,,
run_42,,r0,GPT-4o,easy,E-PN,0,,
run_586,,r1,GeminiUltra,medium,M-GS,1,,
run_643,,r1,GeminiUltra,hard,H-SF,1,,
run_589,,r1,GeminiUltra,medium,M-GS,1,,
run_790,,r1,Claude,easy,E-UE,1,,
run_476,,r2,GeminiUltra,easy,E-UE,2,,
run_959,,r2,Claude,medium,M-GS,2,,
run_363,,r0,GeminiUltra,easy,E-PN,0,,
run_245,,r2,GPT-4o,hard,H-SF,2,,
run_936,,r0,Claude,medium,M-GS,0,,
run_711,,r0,GeminiUltra,hard,H-MN,0,,
run_183,,r0,GPT-4o,medium,M-GS,0,,
run_839,,r2,Claude,easy,E-UE,2,,
run_299,,r2,GPT-4o,hard,H-SF,2,,
run_157,,r1,GPT-4o,medium,M-CS,1,,
run_236,,r2,GPT-4o,medium,M-GS,2,,
run_639,,r0,GeminiUltra,hard,H-SF,0,,
run_833,,r2,Claude,easy,E-UE,2,,
run_579,,r0,GeminiUltra,medium,M-GS,0,,
run_807,,r0,Claude,easy,E-UE,0,,
run_598,,r1,GeminiUltra,medium,M-GS,1,,
run_947,,r2,Claude,medium,M-GS,2,,
run_626,,r2,GeminiUltra,hard,H-SF,2,,
run_362,,r2,GeminiUltra,easy,E-PN,2,,
run_74,,r2,GPT-4o,easy,E-UE,2,,
run_763,,r1,Claude,easy,E-PN,1,,
run_990,,r0,Claude,hard,H-SF,0,,
run_795,,r0,Claude,easy,E-UE,0,,
run_1063,,r1,Claude,hard,H-MN,1,,
run_1033,,r1,Claude,hard,H-MN,1,,
run_538,,r1,GeminiUltra,medium,M-CS,1,,
run_919,,r1,Claude,medium,M-GS,1,,
run_631,,r1,GeminiUltra,hard,H-SF,1,,
run_993,,r0,Claude,hard,H-SF,0,,
run_791,,r2,Claude,easy,E-UE,2,,
run_846,,r0,Claude,medium,M-CS,0,,
run_764,,r2,Claude,easy,E-PN,2,,
run_911,,r2,Claude,medium,M-GS,2,,
run_399,,r0,GeminiUltra,easy,E-PN,0,,
run_359,,r2,GPT-4o,hard,H-MN,2,,
run_22,,r1,GPT-4o,easy,E-PN,1,,
run_834,,r0,Claude,easy,E-UE,0,,
run_721,,r1,Claude,easy,E-PN,1,,
run_787,,r1,Claude,easy,E-UE,1,,
run_177,,r0,GPT-4o,medium,M-CS,0,,
run_591,,r0,GeminiUltra,medium,M-GS,0,,
run_516,,r0,GeminiUltra,medium,M-CS,0,,
run_876,,r0,Claude,medium,M-CS,0,,
run_889,,r1,Claude,medium,M-CS,1,,
run_788,,r2,Claude,easy,E-UE,2,,
run_1048,,r1,Claude,hard,H-MN,1,,
run_276,,r0,GPT-4o,hard,H-SF,0,,
run_142,,r1,GPT-4o,medium,M-CS,1,,
run_881,,r2,Claude,medium,M-CS,2,,
run_605,,r2,GeminiUltra,hard,H-SF,2,,
run_127,,r1,GPT-4o,medium,M-CS,1,,
run_109,,r1,GPT-4o,easy,E-UE,1,,
run_514,,r1,GeminiUltra,medium,M-CS,1,,
run_543,,r0,GeminiUltra,medium,M-GS,0,,
run_603,,r0,GeminiUltra,hard,H-SF,0,,
run_189,,r0,GPT-4o,medium,M-GS,0,,
run_802,,r1,Claude,easy,E-UE,1,,
run_133,,r1,GPT-4o,medium,M-CS,1,,
run_770,,r2,Claude,easy,E-PN,2,,
run_852,,r0,Claude,medium,M-CS,0,,
run_266,,r2,GPT-4o,hard,H-SF,2,,
run_320,,r2,GPT-4o,hard,H-MN,2,,
run_973,,r1,Claude,hard,H-SF,1,,
run_452,,r2,GeminiUltra,easy,E-UE,2,,
run_102,,r0,GPT-4o,easy,E-UE,0,,
run_163,,r1,GPT-4o,medium,M-CS,1,,
run_1073,,r2,Claude,hard,H-MN,2,,
run_134,,r2,GPT-4o,medium,M-CS,2,,
run_634,,r1,GeminiUltra,hard,H-SF,1,,
run_48,,r0,GPT-4o,easy,E-PN,0,,
run_753,,r0,Claude,easy,E-PN,0,,
run_879,,r0,Claude,medium,M-CS,0,,
run_1044,,r0,Claude,hard,H-MN,0,,
run_64,,r1,GPT-4o,easy,E-UE,1,,
run_1068,,r0,Claude,hard,H-MN,0,,
run_32,,r2,GPT-4o,easy,E-PN,2,,
run_854,,r2,Claude,medium,M-CS,2,,
run_731,,r2,Claude,easy,E-PN,2,,
run_467,,r2,GeminiUltra,easy,E-UE,2,,
run_599,,r2,GeminiUltra,medium,M-GS,2,,
run_857,,r2,Claude,medium,M-CS,2,,
run_898,,r1,Claude,medium,M-CS,1,,
run_100,,r1,GPT-4o,easy,E-UE,1,,
run_167,,r2,GPT-4o,medium,M-CS,2,,
run_323,,r2,GPT-4o,hard,H-MN,2,,
run_592,,r1,GeminiUltra,medium,M-GS,1,,
run_842,,r2,Claude,medium,M-CS,2,,
run_213,,r0,GPT-4o,medium,M-GS,0,,
run_520,,r1,GeminiUltra,medium,M-CS,1,,
run_796,,r1,Claude,easy,E-UE,1,,
run_67,,r1,GPT-4o,easy,E-UE,1,,
run_867,,r0,Claude,medium,M-CS,0,,
run_306,,r0,GPT-4o,hard,H-MN,0,,
run_740,,r2,Claude,easy,E-PN,2,,
run_30,,r0,GPT-4o,easy,E-PN,0,,
run_264,,r0,GPT-4o,hard,H-SF,0,,
run_945,,r0,Claude,medium,M-GS,0,,
run_574,,r1,GeminiUltra,medium,M-GS,1,,
run_649,,r1,GeminiUltra,hard,H-SF,1,,
run_473,,r2,GeminiUltra,easy,E-UE,2,,
run_563,,r2,GeminiUltra,medium,M-GS,2,,
run_375,,r0,GeminiUltra,easy,E-PN,0,,
run_1056,,r0,Claude,hard,H-MN,0,,
run_650,,r2,GeminiUltra,hard,H-SF,2,,
run_594,,r0,GeminiUltra,medium,M-GS,0,,
run_534,,r0,GeminiUltra,medium,M-CS,0,,
run_749,,r2,Claude,easy,E-PN,2,,
run_426,,r0,GeminiUltra,easy,E-UE,0,,
run_739,,r1,Claude,easy,E-PN,1,,
run_135,,r0,GPT-4o,medium,M-CS,0,,
run_46,,r1,GPT-4o,easy,E-PN,1,,
run_175,,r1,GPT-4o,medium,M-CS,1,,
run_409,,r1,GeminiUltra,easy,E-PN,1,,
run_766,,r1,Claude,easy,E-PN,1,,
run_750,,r0,Claude,easy,E-PN,0,,
run_330,,r0,GPT-4o,hard,H-MN,0,,
run_1061,,r2,Claude,hard,H-MN,2,,
run_545,,r2,GeminiUltra,medium,M-GS,2,,
run_664,,r1,GeminiUltra,hard,H-MN,1,,
run_786,,r0,Claude,easy,E-UE,0,,
run_1040,,r2,Claude,hard,H-MN,2,,
run_735,,r0,Claude,easy,E-PN,0,,
run_686,,r2,GeminiUltra,hard,H-MN,2,,
run_475,,r1,GeminiUltra,easy,E-UE,1,,
run_59,,r2,GPT-4o,easy,E-PN,2,,
run_656,,r2,GeminiUltra,hard,H-SF,2,,
run_164,,r2,GPT-4o,medium,M-CS,2,,
run_805,,r1,Claude,easy,E-UE,1,,
run_415,,r1,GeminiUltra,easy,E-PN,1,,
run_529,,r1,GeminiUltra,medium,M-CS,1,,
run_282,,r0,GPT-4o,hard,H-SF,0,,
run_491,,r2,GeminiUltra,medium,M-CS,2,,
run_477,,r0,GeminiUltra,easy,E-UE,0,,
run_226,,r1,GPT-4o,medium,M-GS,1,,
run_168,,r0,GPT-4o,medium,M-CS,0,,
run_289,,r1,GPT-4o,hard,H-SF,1,,
run_651,,r0,GeminiUltra,hard,H-SF,0,,
run_1013,,r2,Claude,hard,H-SF,2,,
run_817,,r1,Claude,easy,E-UE,1,,
run_986,,r2,Claude,hard,H-SF,2,,
run_303,,r0,GPT-4o,hard,H-MN,0,,
run_161,,r2,GPT-4o,medium,M-CS,2,,
run_184,,r1,GPT-4o,medium,M-GS,1,,
run_367,,r1,GeminiUltra,easy,E-PN,1,,
run_158,,r2,GPT-4o,medium,M-CS,2,,
run_719,,r2,GeminiUltra,hard,H-MN,2,,
run_254,,r2,GPT-4o,hard,H-SF,2,,
run_550,,r1,GeminiUltra,medium,M-GS,1,,
run_597,,r0,GeminiUltra,medium,M-GS,0,,
run_501,,r0,GeminiUltra,medium,M-CS,0,,
run_95,,r2,GPT-4o,easy,E-UE,2,,
run_916,,r1,Claude,medium,M-GS,1,,
run_344,,r2,GPT-4o,hard,H-MN,2,,
run_782,,r2,Claude,easy,E-UE,2,,
run_635,,r2,GeminiUltra,hard,H-SF,2,,
run_861,,r0,Claude,medium,M-CS,0,,
run_989,,r2,Claude,hard,H-SF,2,,
run_855,,r0,Claude,medium,M-CS,0,,
run_24,,r0,GPT-4o,easy,E-PN,0,,
run_668,,r2,GeminiUltra,hard,H-MN,2,,
run_769,,r1,Claude,easy,E-PN,1,,
run_744,,r0,Claude,easy,E-PN,0,,
run_332,,r2,GPT-4o,hard,H-MN,2,,
run_483,,r0,GeminiUltra,medium,M-CS,0,,
run_73,,r1,GPT-4o,easy,E-UE,1,,
run_418,,r1,GeminiUltra,easy,E-PN,1,,
run_321,,r0,GPT-4o,hard,H-MN,0,,
run_961,,r1,Claude,hard,H-SF,1,,
run_798,,r0,Claude,easy,E-UE,0,,
run_882,,r0,Claude,medium,M-CS,0,,
run_515,,r2,GeminiUltra,medium,M-CS,2,,
run_977,,r2,Claude,hard,H-SF,2,,
run_646,,r1,GeminiUltra,hard,H-SF,1,,
run_722,,r2,Claude,easy,E-PN,2,,
run_1041,,r0,Claude,hard,H-MN,0,,
run_558,,r0,GeminiUltra,medium,M-GS,0,,
run_660,,r0,GeminiUltra,hard,H-MN,0,,
run_845,,r2,Claude,medium,M-CS,2,,
run_929,,r2,Claude,medium,M-GS,2,,
run_891,,r0,Claude,medium,M-CS,0,,
run_725,,r2,Claude,easy,E-PN,2,,
run_681,,r0,GeminiUltra,hard,H-MN,0,,
run_505,,r1,GeminiUltra,medium,M-CS,1,,
run_497,,r2,GeminiUltra,medium,M-CS,2,,
run_1017,,r0,Claude,hard,H-SF,0,,
run_216,,r0,GPT-4o,medium,M-GS,0,,
run_18,,r0,GPT-4o,easy,E-PN,0,,
run_610,,r1,GeminiUltra,hard,H-SF,1,,
run_896,,r2,Claude,medium,M-CS,2,,
run_828,,r0,Claude,easy,E-UE,0,,
run_76,,r1,GPT-4o,easy,E-UE,1,,
run_697,,r1,GeminiUltra,hard,H-MN,1,,
run_783,,r0,Claude,easy,E-UE,0,,
run_860,,r2,Claude,medium,M-CS,2,,
run_355,,r1,GPT-4o,hard,H-MN,1,,
run_238,,r1,GPT-4o,medium,M-GS,1,,
run_337,,r1,GPT-4o,hard,H-MN,1,,
run_66,,r0,GPT-4o,easy,E-UE,0,,
run_14,,r2,GPT-4o,easy,E-PN,2,,
run_865,,r1,Claude,medium,M-CS,1,,
run_1069,,r1,Claude,hard,H-MN,1,,
run_674,,r2,GeminiUltra,hard,H-MN,2,,
run_813,,r0,Claude,easy,E-UE,0,,
run_420,,r0,GeminiUltra,easy,E-UE,0,,
run_644,,r2,GeminiUltra,hard,H-SF,2,,
run_551,,r2,GeminiUltra,medium,M-GS,2,,
run_262,,r1,GPT-4o,hard,H-SF,1,,
run_618,,r0,GeminiUltra,hard,H-SF,0,,
run_923,,r2,Claude,medium,M-GS,2,,
run_824,,r2,Claude,easy,E-UE,2,,
run_913,,r1,Claude,medium,M-GS,1,,
run_745,,r1,Claude,easy,E-PN,1,,
run_575,,r2,GeminiUltra,medium,M-GS,2,,
run_434,,r2,GeminiUltra,easy,E-UE,2,,
run_285,,r0,GPT-4o,hard,H-SF,0,,
run_870,,r0,Claude,medium,M-CS,0,,
run_669,,r0,GeminiUltra,hard,H-MN,0,,
run_294,,r0,GPT-4o,hard,H-SF,0,,
run_317,,r2,GPT-4o,hard,H-MN,2,,
run_847,,r1,Claude,medium,M-CS,1,,
run_688,,r1,GeminiUltra,hard,H-MN,1,,
run_479,,r2,GeminiUltra,easy,E-UE,2,,
run_914,,r2,Claude,medium,M-GS,2,,
run_673,,r1,GeminiUltra,hard,H-MN,1,,
run_17,,r2,GPT-4o,easy,E-PN,2,,
run_138,,r0,GPT-4o,medium,M-CS,0,,
run_60,,r0,GPT-4o,easy,E-UE,0,,
run_209,,r2,GPT-4o,medium,M-GS,2,,
run_51,,r0,GPT-4o,easy,E-PN,0,,
run_498,,r0,GeminiUltra,medium,M-CS,0,,
run_999,,r0,Claude,hard,H-SF,0,,
run_474,,r0,GeminiUltra,easy,E-UE,0,,
run_628,,r1,GeminiUltra,hard,H-SF,1,,
run_1018,,r1,Claude,hard,H-SF,1,,
run_81,,r0,GPT-4o,easy,E-UE,0,,
run_690,,r0,GeminiUltra,hard,H-MN,0,,
run_571,,r1,GeminiUltra,medium,M-GS,1,,
run_931,,r1,Claude,medium,M-GS,1,,
run_310,,r1,GPT-4o,hard,H-MN,1,,
run_435,,r0,GeminiUltra,easy,E-UE,0,,
run_212,,r2,GPT-4o,medium,M-GS,2,,
run_647,,r2,GeminiUltra,hard,H-SF,2,,
run_112,,r1,GPT-4o,easy,E-UE,1,,
run_942,,r0,Claude,medium,M-GS,0,,
run_868,,r1,Claude,medium,M-CS,1,,
run_570,,r0,GeminiUltra,medium,M-GS,0,,
run_160,,r1,GPT-4o,medium,M-CS,1,,
run_309,,r0,GPT-4o,hard,H-MN,0,,
run_518,,r2,GeminiUltra,medium,M-CS,2,,
run_422,,r2,GeminiUltra,easy,E-UE,2,,
run_240,,r0,GPT-4o,hard,H-SF,0,,
run_665,,r2,GeminiUltra,hard,H-MN,2,,
run_118,,r1,GPT-4o,easy,E-UE,1,,
run_343,,r1,GPT-4o,hard,H-MN,1,,
run_707,,r2,GeminiUltra,hard,H-MN,2,,
run_201,,r0,GPT-4o,medium,M-GS,0,,
run_718,,r1,GeminiUltra,hard,H-MN,1,,
run_388,,r1,GeminiUltra,easy,E-PN,1,,
run_425,,r2,GeminiUltra,easy,E-UE,2,,
run_706,,r1,GeminiUltra,hard,H-MN,1,,
run_75,,r0,GPT-4o,easy,E-UE,0,,
run_19,,r1,GPT-4o,easy,E-PN,1,,
run_39,,r0,GPT-4o,easy,E-PN,0,,
run_348,,r0,GPT-4o,hard,H-MN,0,,
run_218,,r2,GPT-4o,medium,M-GS,2,,
run_141,,r0,GPT-4o,medium,M-CS,0,,
run_587,,r2,GeminiUltra,medium,M-GS,2,,
run_400,,r1,GeminiUltra,easy,E-PN,1,,
run_1050,,r0,Claude,hard,H-MN,0,,
run_1072,,r1,Claude,hard,H-MN,1,,
run_975,,r0,Claude,hard,H-SF,0,,
run_268,,r1,GPT-4o,hard,H-SF,1,,
run_613,,r1,GeminiUltra,hard,H-SF,1,,
run_419,,r2,GeminiUltra,easy,E-PN,2,,
run_915,,r0,Claude,medium,M-GS,0,,
run_762,,r0,Claude,easy,E-PN,0,,
run_709,,r1,GeminiUltra,hard,H-MN,1,,
run_687,,r0,GeminiUltra,hard,H-MN,0,,
run_198,,r0,GPT-4o,medium,M-GS,0,,
run_540,,r0,GeminiUltra,medium,M-GS,0,,
run_1067,,r2,Claude,hard,H-MN,2,,
run_324,,r0,GPT-4o,hard,H-MN,0,,
run_0,,r0,GPT-4o,easy,E-PN,0,,
run_812,,r2,Claude,easy,E-UE,2,,
run_685,,r1,GeminiUltra,hard,H-MN,1,,
run_918,,r0,Claude,medium,M-GS,0,,
run_335,,r2,GPT-4o,hard,H-MN,2,,
run_1004,,r2,Claude,hard,H-SF,2,,
run_1045,,r1,Claude,hard,H-MN,1,,
run_776,,r2,Claude,easy,E-PN,2,,
run_56,,r2,GPT-4o,easy,E-PN,2,,
run_979,,r1,Claude,hard,H-SF,1,,
run_408,,r0,GeminiUltra,easy,E-PN,0,,
run_484,,r1,GeminiUltra,medium,M-CS,1,,
run_464,,r2,GeminiUltra,easy,E-UE,2,,
run_174,,r0,GPT-4o,medium,M-CS,0,,
run_172,,r1,GPT-4o,medium,M-CS,1,,
run_225,,r0,GPT-4o,medium,M-GS,0,,
run_401,,r2,GeminiUltra,easy,E-PN,2,,
run_560,,r2,GeminiUltra,medium,M-GS,2,,
run_334,,r1,GPT-4o,hard,H-MN,1,,
run_622,,r1,GeminiUltra,hard,H-SF,1,,
run_224,,r2,GPT-4o,medium,M-GS,2,,
run_966,,r0,Claude,hard,H-SF,0,,
run_374,,r2,GeminiUltra,easy,E-PN,2,,
run_130,,r1,GPT-4o,medium,M-CS,1,,
run_980,,r2,Claude,hard,H-SF,2,,
run_691,,r1,GeminiUltra,hard,H-MN,1,,
run_755,,r2,Claude,easy,E-PN,2,,
run_821,,r2,Claude,easy,E-UE,2,,
run_567,,r0,GeminiUltra,medium,M-GS,0,,
run_712,,r1,GeminiUltra,hard,H-MN,1,,
run_271,,r1,GPT-4o,hard,H-SF,1,,
run_28,,r1,GPT-4o,easy,E-PN,1,,
run_910,,r1,Claude,medium,M-GS,1,,
run_525,,r0,GeminiUltra,medium,M-CS,0,,
run_104,,r2,GPT-4o,easy,E-UE,2,,
run_122,,r2,GPT-4o,medium,M-CS,2,,
run_486,,r0,GeminiUltra,medium,M-CS,0,,
run_527,,r2,GeminiUltra,medium,M-CS,2,,
run_535,,r1,GeminiUltra,medium,M-CS,1,,
run_315,,r0,GPT-4o,hard,H-MN,0,,
run_219,,r0,GPT-4o,medium,M-GS,0,,
run_58,,r1,GPT-4o,easy,E-PN,1,,
run_675,,r0,GeminiUltra,hard,H-MN,0,,
run_730,,r1,Claude,easy,E-PN,1,,
run_537,,r0,GeminiUltra,medium,M-CS,0,,
run_638,,r2,GeminiUltra,hard,H-SF,2,,
run_366,,r0,GeminiUltra,easy,E-PN,0,,
run_1024,,r1,Claude,hard,H-MN,1,,
run_1003,,r1,Claude,hard,H-SF,1,,
run_98,,r2,GPT-4o,easy,E-UE,2,,
run_511,,r1,GeminiUltra,medium,M-CS,1,,
run_841,,r1,Claude,medium,M-CS,1,,
run_747,,r0,Claude,easy,E-PN,0,,
run_578,,r2,GeminiUltra,medium,M-GS,2,,
run_653,,r2,GeminiUltra,hard,H-SF,2,,
run_932,,r2,Claude,medium,M-GS,2,,
run_281,,r2,GPT-4o,hard,H-SF,2,,
run_884,,r2,Claude,medium,M-CS,2,,
